"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","17","19","1","35.816212","0","19"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","11","11","1","18.592436","0","11"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","27","27","1","60.718761","0","27"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","72","78","1","127.637505","0","78"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","0.000000","0","45"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","11","1","25.734928","0","11"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","66.219498","0","24"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","8","1","11.748028","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","14.131258","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","8","1","7.064592","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","7.466099","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","8","1","6.703320","0","8"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","3.504137","0","7"
"/Game/FAB/FreeFurniturePack/Materials/M_Modern_Table_bottom.M_Modern_Table_bottom","49","8","8","1","3.651417","0","8"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","13.152956","0","16"
"/Game/FAB/StylizedKitchen/Materials/MM_Metal_Can_A.MM_Metal_Can_A","49","8","8","1","4.791646","0","8"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_Generic.M_Generic","49","8","8","1","26.360979","0","8"
"/Game/FAB/FreeFurniturePack/Materials/M_Chrome.M_Chrome","49","8","8","1","8.052704","0","8"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","16","16","1","74.468788","0","16"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","16","16","1","62.274208","0","16"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","55.150372","0","22"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","17","17","1","24.318998","0","17"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","12","1","33.806347","0","12"
"/ControlRig/M_Manip.M_Manip","49","11","12","1","10.995626","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","56","62","2","38.651154","0","62"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","5.891735","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","5.110163","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","61.400734","0","80"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","57.963223","0","78"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","0.000000","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","0.000000","0","40"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","19.585920","0","45"
"/Game/CR/LQ/AMT_Materials/M_Master/M_Master.M_Master","49","25","25","1","64.066696","0","25"
"/Game/FAB/Modern_House_V1/Materials/M_light.M_light","49","8","8","1","3.791336","0","8"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","3.583635","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","3.697284","0","7"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_Glass.M_Glass","49","17","17","1","12.880750","0","17"
"/Game/FAB/StylizedKitchen/Materials/MM_Glass02.MM_Glass02","49","17","17","1","12.038918","0","17"
"/Game/FAB/FreeFurniturePack/Materials/M_Modern_Table_top.M_Modern_Table_top","49","8","8","1","4.647756","0","8"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","8.962393","0","23"
"/Game/FAB/Modern_House_V1/Materials/M_Glass.M_Glass","49","19","19","1","14.348701","0","19"
